Number of words in the corpus: 6458
Number of words in the corpus_todo: 5398
Word:  Frequency: 221.0 LogProb: -1.7275852161846144
Word: #_number_ Frequency: 0.0 LogProb: -4.0739381906352525
Word: #_number_years Frequency: 0.0 LogProb: -4.0739381906352525
Word: #abuja Frequency: 0.0 LogProb: -4.0739381906352525
Word: #actionforwomenshealth Frequency: 0.0 LogProb: -4.0739381906352525
Word: #adhd Frequency: 0.0 LogProb: -4.0739381906352525
Word: #adie Frequency: 0.0 LogProb: -4.0739381906352525
Word: #affordablehousing Frequency: 0.0 LogProb: -4.0739381906352525
Word: #african Frequency: 0.0 LogProb: -4.0739381906352525
Word: #africanchildday Frequency: 0.0 LogProb: -4.0739381906352525
Word: #agriculture Frequency: 0.0 LogProb: -4.0739381906352525
Word: #allaboutjobs Frequency: 0.0 LogProb: -4.0739381906352525
Word: #allergy Frequency: 0.0 LogProb: -4.0739381906352525
Word: #americans Frequency: 0.0 LogProb: -4.0739381906352525
Word: #apac Frequency: 0.0 LogProb: -4.0739381906352525
Word: #apollo_number_ Frequency: 0.0 LogProb: -4.0739381906352525
Word: #aqua Frequency: 0.0 LogProb: -4.0739381906352525
Word: #argentina Frequency: 0.0 LogProb: -4.0739381906352525
Word: #art_number_ Frequency: 0.0 LogProb: -4.0739381906352525
Word: #artisan Frequency: 0.0 LogProb: -4.0739381906352525
Word: #asco_number_ Frequency: 0.0 LogProb: -4.0739381906352525
Word: #asia Frequency: 0.0 LogProb: -4.0739381906352525
Word: #asthma Frequency: 0.0 LogProb: -4.0739381906352525
Word: #awareness Frequency: 0.0 LogProb: -4.0739381906352525
Word: #baby Frequency: 0.0 LogProb: -4.0739381906352525
Word: #balance Frequency: 0.0 LogProb: -4.0739381906352525
Word: #bangkok Frequency: 0.0 LogProb: -4.0739381906352525
Word: #barclaysaccel Frequency: 0.0 LogProb: -4.0739381906352525
Word: #barclayspavilion Frequency: 0.0 LogProb: -4.0739381906352525
Word: #barclayswealth Frequency: 0.0 LogProb: -4.0739381906352525
Word: #bdi Frequency: 0.0 LogProb: -4.0739381906352525
Word: #bestcareeradvice Frequency: 0.0 LogProb: -4.0739381906352525
Word: #bestplacestowork Frequency: 0.0 LogProb: -4.0739381906352525
