Number of words in the corpus: 1352
Number of words in the corpus_todo: 5398
Word:  Frequency: 249.0 LogProb: -1.4313637641589874
Word: #_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #_number_years Frequency: 0.0 LogProb: -3.829303772831025
Word: #abuja Frequency: 0.0 LogProb: -3.829303772831025
Word: #actionforwomenshealth Frequency: 0.0 LogProb: -3.829303772831025
Word: #adhd Frequency: 0.0 LogProb: -3.829303772831025
Word: #adie Frequency: 0.0 LogProb: -3.829303772831025
Word: #affordablehousing Frequency: 0.0 LogProb: -3.829303772831025
Word: #african Frequency: 0.0 LogProb: -3.829303772831025
Word: #africanchildday Frequency: 0.0 LogProb: -3.829303772831025
Word: #agriculture Frequency: 0.0 LogProb: -3.829303772831025
Word: #allaboutjobs Frequency: 0.0 LogProb: -3.829303772831025
Word: #allergy Frequency: 0.0 LogProb: -3.829303772831025
Word: #americans Frequency: 0.0 LogProb: -3.829303772831025
Word: #apac Frequency: 0.0 LogProb: -3.829303772831025
Word: #apollo_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #aqua Frequency: 0.0 LogProb: -3.829303772831025
Word: #argentina Frequency: 0.0 LogProb: -3.829303772831025
Word: #art_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #artisan Frequency: 0.0 LogProb: -3.829303772831025
Word: #asco_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #asia Frequency: 0.0 LogProb: -3.829303772831025
Word: #asthma Frequency: 0.0 LogProb: -3.829303772831025
Word: #awareness Frequency: 0.0 LogProb: -3.829303772831025
Word: #baby Frequency: 0.0 LogProb: -3.829303772831025
Word: #balance Frequency: 0.0 LogProb: -3.829303772831025
Word: #bangkok Frequency: 1.0 LogProb: -3.5282737771670436
Word: #barclaysaccel Frequency: 0.0 LogProb: -3.829303772831025
Word: #barclayspavilion Frequency: 0.0 LogProb: -3.829303772831025
Word: #barclayswealth Frequency: 0.0 LogProb: -3.829303772831025
Word: #bdi Frequency: 0.0 LogProb: -3.829303772831025
Word: #bestcareeradvice Frequency: 0.0 LogProb: -3.829303772831025
Word: #bestplacestowork Frequency: 0.0 LogProb: -3.829303772831025
Word: #bewell Frequency: 0.0 LogProb: -3.829303772831025
Word: #bigdata Frequency: 1.0 LogProb: -3.5282737771670436
Word: #bogota Frequency: 0.0 LogProb: -3.829303772831025
Word: #bonehealth Frequency: 0.0 LogProb: -3.829303772831025
Word: #bones Frequency: 0.0 LogProb: -3.829303772831025
Word: #bop Frequency: 0.0 LogProb: -3.829303772831025
Word: #brazil Frequency: 0.0 LogProb: -3.829303772831025
Word: #brazils Frequency: 0.0 LogProb: -3.829303772831025
Word: #breastcancer Frequency: 0.0 LogProb: -3.829303772831025
Word: #brk Frequency: 0.0 LogProb: -3.829303772831025
Word: #brooklyn Frequency: 0.0 LogProb: -3.829303772831025
Word: #business Frequency: 0.0 LogProb: -3.829303772831025
Word: #cabosanlucas Frequency: 0.0 LogProb: -3.829303772831025
Word: #cameroon Frequency: 0.0 LogProb: -3.829303772831025
Word: #campaignagainstmigraine Frequency: 0.0 LogProb: -3.829303772831025
Word: #canada Frequency: 0.0 LogProb: -3.829303772831025
Word: #capetownì¢‰ââ‰ã¢s Frequency: 0.0 LogProb: -3.829303772831025
Word: #capetown‰ûªs Frequency: 0.0 LogProb: -3.829303772831025
Word: #carbon Frequency: 0.0 LogProb: -3.829303772831025
Word: #career Frequency: 4.0 LogProb: -3.130333768495006
Word: #casahogar Frequency: 0.0 LogProb: -3.829303772831025
Word: #cdfaawards Frequency: 0.0 LogProb: -3.829303772831025
Word: #cei_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #cepanama Frequency: 0.0 LogProb: -3.829303772831025
Word: #cervicalcancer Frequency: 0.0 LogProb: -3.829303772831025
Word: #cervicalhealthmonth Frequency: 0.0 LogProb: -3.829303772831025
Word: #changemakers Frequency: 0.0 LogProb: -3.829303772831025
Word: #charities Frequency: 0.0 LogProb: -3.829303772831025
Word: #chennai Frequency: 1.0 LogProb: -3.5282737771670436
Word: #child Frequency: 8.0 LogProb: -2.8750612633917
Word: #childlabour Frequency: 1.0 LogProb: -3.5282737771670436
Word: #childrens Frequency: 0.0 LogProb: -3.829303772831025
Word: #china Frequency: 0.0 LogProb: -3.829303772831025
Word: #chinas Frequency: 0.0 LogProb: -3.829303772831025
Word: #chocolatecoveredfact Frequency: 0.0 LogProb: -3.829303772831025
Word: #citi Frequency: 0.0 LogProb: -3.829303772831025
Word: #citibank Frequency: 2.0 LogProb: -3.3521825181113623
Word: #citibankmalaysia Frequency: 0.0 LogProb: -3.829303772831025
Word: #citibanksv Frequency: 1.0 LogProb: -3.5282737771670436
Word: #citibankthailand Frequency: 1.0 LogProb: -3.5282737771670436
Word: #citicma Frequency: 0.0 LogProb: -3.829303772831025
Word: #citidigimoney Frequency: 0.0 LogProb: -3.829303772831025
Word: #cities Frequency: 0.0 LogProb: -3.829303772831025
Word: #citiforcities Frequency: 1.0 LogProb: -3.5282737771670436
Word: #citifoundation Frequency: 0.0 LogProb: -3.829303772831025
Word: #citigroup Frequency: 0.0 LogProb: -3.829303772831025
Word: #citimea Frequency: 0.0 LogProb: -3.829303772831025
Word: #citimy Frequency: 0.0 LogProb: -3.829303772831025
Word: #citiph Frequency: 1.0 LogProb: -3.5282737771670436
Word: #citis Frequency: 0.0 LogProb: -3.829303772831025
Word: #citisalutes Frequency: 0.0 LogProb: -3.829303772831025
Word: #citisustainability Frequency: 0.0 LogProb: -3.829303772831025
Word: #citivolunteer Frequency: 0.0 LogProb: -3.829303772831025
Word: #citivolunteers Frequency: 17.0 LogProb: -2.574031267727719
Word: #citizens_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #citi‰ûªs Frequency: 0.0 LogProb: -3.829303772831025
Word: #city Frequency: 0.0 LogProb: -3.829303772831025
Word: #civic_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #cnn Frequency: 0.0 LogProb: -3.829303772831025
Word: #cobros Frequency: 0.0 LogProb: -3.829303772831025
Word: #cofco Frequency: 0.0 LogProb: -3.829303772831025
Word: #cofcos Frequency: 0.0 LogProb: -3.829303772831025
Word: #college Frequency: 0.0 LogProb: -3.829303772831025
Word: #colombia Frequency: 0.0 LogProb: -3.829303772831025
Word: #communityday Frequency: 1.0 LogProb: -3.5282737771670436
Word: #communityqb Frequency: 0.0 LogProb: -3.829303772831025
Word: #communityqbmodel Frequency: 0.0 LogProb: -3.829303772831025
Word: #convergences Frequency: 0.0 LogProb: -3.829303772831025
Word: #cows Frequency: 0.0 LogProb: -3.829303772831025
Word: #crowdsourcing Frequency: 0.0 LogProb: -3.829303772831025
Word: #csr Frequency: 0.0 LogProb: -3.829303772831025
Word: #csv Frequency: 1.0 LogProb: -3.5282737771670436
Word: #csv_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #csvforum Frequency: 0.0 LogProb: -3.829303772831025
Word: #csvprize Frequency: 0.0 LogProb: -3.829303772831025
Word: #d_number_c Frequency: 0.0 LogProb: -3.829303772831025
Word: #dairy Frequency: 0.0 LogProb: -3.829303772831025
Word: #dancares Frequency: 0.0 LogProb: -3.829303772831025
Word: #dannon Frequency: 0.0 LogProb: -3.829303772831025
Word: #danone Frequency: 0.0 LogProb: -3.829303772831025
Word: #danone_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #danoneceo Frequency: 0.0 LogProb: -3.829303772831025
Word: #danonecfo Frequency: 0.0 LogProb: -3.829303772831025
