Number of words in the corpus: 6718
Number of words in the corpus_todo: 5398
Word:  Frequency: 612.0 LogProb: -1.295898790142403
Word: #_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #_number_years Frequency: 0.0 LogProb: -4.083359264660818
Word: #abuja Frequency: 0.0 LogProb: -4.083359264660818
Word: #actionforwomenshealth Frequency: 0.0 LogProb: -4.083359264660818
Word: #adhd Frequency: 0.0 LogProb: -4.083359264660818
Word: #adie Frequency: 0.0 LogProb: -4.083359264660818
Word: #affordablehousing Frequency: 0.0 LogProb: -4.083359264660818
Word: #african Frequency: 0.0 LogProb: -4.083359264660818
Word: #africanchildday Frequency: 0.0 LogProb: -4.083359264660818
Word: #agriculture Frequency: 0.0 LogProb: -4.083359264660818
Word: #allaboutjobs Frequency: 0.0 LogProb: -4.083359264660818
Word: #allergy Frequency: 0.0 LogProb: -4.083359264660818
Word: #americans Frequency: 0.0 LogProb: -4.083359264660818
Word: #apac Frequency: 0.0 LogProb: -4.083359264660818
Word: #apollo_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #aqua Frequency: 0.0 LogProb: -4.083359264660818
Word: #argentina Frequency: 0.0 LogProb: -4.083359264660818
Word: #art_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #artisan Frequency: 1.0 LogProb: -3.782329268996837
Word: #asco_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #asia Frequency: 0.0 LogProb: -4.083359264660818
Word: #asthma Frequency: 0.0 LogProb: -4.083359264660818
Word: #awareness Frequency: 0.0 LogProb: -4.083359264660818
Word: #baby Frequency: 5.0 LogProb: -3.3052080142771745
Word: #balance Frequency: 0.0 LogProb: -4.083359264660818
Word: #bangkok Frequency: 1.0 LogProb: -3.782329268996837
Word: #barclaysaccel Frequency: 0.0 LogProb: -4.083359264660818
Word: #barclayspavilion Frequency: 0.0 LogProb: -4.083359264660818
Word: #barclayswealth Frequency: 0.0 LogProb: -4.083359264660818
Word: #bdi Frequency: 0.0 LogProb: -4.083359264660818
Word: #bestcareeradvice Frequency: 0.0 LogProb: -4.083359264660818
Word: #bestplacestowork Frequency: 0.0 LogProb: -4.083359264660818
Word: #bewell Frequency: 0.0 LogProb: -4.083359264660818
Word: #bigdata Frequency: 1.0 LogProb: -3.782329268996837
Word: #bogota Frequency: 0.0 LogProb: -4.083359264660818
Word: #bonehealth Frequency: 2.0 LogProb: -3.6062380099411557
Word: #bones Frequency: 1.0 LogProb: -3.782329268996837
Word: #bop Frequency: 0.0 LogProb: -4.083359264660818
Word: #brazil Frequency: 0.0 LogProb: -4.083359264660818
Word: #brazils Frequency: 0.0 LogProb: -4.083359264660818
Word: #breastcancer Frequency: 0.0 LogProb: -4.083359264660818
Word: #brk Frequency: 0.0 LogProb: -4.083359264660818
Word: #brooklyn Frequency: 0.0 LogProb: -4.083359264660818
Word: #business Frequency: 0.0 LogProb: -4.083359264660818
Word: #cabosanlucas Frequency: 0.0 LogProb: -4.083359264660818
Word: #cameroon Frequency: 0.0 LogProb: -4.083359264660818
Word: #campaignagainstmigraine Frequency: 0.0 LogProb: -4.083359264660818
Word: #canada Frequency: 0.0 LogProb: -4.083359264660818
Word: #capetownì¢‰ââ‰ã¢s Frequency: 0.0 LogProb: -4.083359264660818
Word: #capetown‰ûªs Frequency: 0.0 LogProb: -4.083359264660818
Word: #carbon Frequency: 1.0 LogProb: -3.782329268996837
Word: #career Frequency: 6.0 LogProb: -3.2382612246465614
Word: #casahogar Frequency: 0.0 LogProb: -4.083359264660818
Word: #cdfaawards Frequency: 0.0 LogProb: -4.083359264660818
Word: #cei_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #cepanama Frequency: 0.0 LogProb: -4.083359264660818
Word: #cervicalcancer Frequency: 0.0 LogProb: -4.083359264660818
Word: #cervicalhealthmonth Frequency: 0.0 LogProb: -4.083359264660818
Word: #changemakers Frequency: 1.0 LogProb: -3.782329268996837
Word: #charities Frequency: 1.0 LogProb: -3.782329268996837
Word: #chennai Frequency: 1.0 LogProb: -3.782329268996837
Word: #child Frequency: 8.0 LogProb: -3.129116755221493
Word: #childlabour Frequency: 1.0 LogProb: -3.782329268996837
Word: #childrens Frequency: 0.0 LogProb: -4.083359264660818
Word: #china Frequency: 0.0 LogProb: -4.083359264660818
Word: #chinas Frequency: 0.0 LogProb: -4.083359264660818
Word: #chocolatecoveredfact Frequency: 0.0 LogProb: -4.083359264660818
Word: #citi Frequency: 0.0 LogProb: -4.083359264660818
Word: #citibank Frequency: 2.0 LogProb: -3.6062380099411557
Word: #citibankmalaysia Frequency: 0.0 LogProb: -4.083359264660818
Word: #citibanksv Frequency: 1.0 LogProb: -3.782329268996837
Word: #citibankthailand Frequency: 1.0 LogProb: -3.782329268996837
Word: #citicma Frequency: 0.0 LogProb: -4.083359264660818
Word: #citidigimoney Frequency: 0.0 LogProb: -4.083359264660818
Word: #cities Frequency: 1.0 LogProb: -3.782329268996837
Word: #citiforcities Frequency: 4.0 LogProb: -3.384389260324799
Word: #citifoundation Frequency: 0.0 LogProb: -4.083359264660818
Word: #citigroup Frequency: 0.0 LogProb: -4.083359264660818
Word: #citimea Frequency: 0.0 LogProb: -4.083359264660818
Word: #citimy Frequency: 0.0 LogProb: -4.083359264660818
Word: #citiph Frequency: 1.0 LogProb: -3.782329268996837
Word: #citis Frequency: 0.0 LogProb: -4.083359264660818
Word: #citisalutes Frequency: 0.0 LogProb: -4.083359264660818
Word: #citisustainability Frequency: 0.0 LogProb: -4.083359264660818
Word: #citivolunteer Frequency: 0.0 LogProb: -4.083359264660818
Word: #citivolunteers Frequency: 20.0 LogProb: -2.761139969926899
Word: #citizens_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #citi‰ûªs Frequency: 0.0 LogProb: -4.083359264660818
Word: #city Frequency: 0.0 LogProb: -4.083359264660818
Word: #civic_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #cnn Frequency: 0.0 LogProb: -4.083359264660818
Word: #cobros Frequency: 0.0 LogProb: -4.083359264660818
Word: #cofco Frequency: 0.0 LogProb: -4.083359264660818
Word: #cofcos Frequency: 0.0 LogProb: -4.083359264660818
Word: #college Frequency: 0.0 LogProb: -4.083359264660818
Word: #colombia Frequency: 0.0 LogProb: -4.083359264660818
Word: #communityday Frequency: 1.0 LogProb: -3.782329268996837
Word: #communityqb Frequency: 0.0 LogProb: -4.083359264660818
Word: #communityqbmodel Frequency: 0.0 LogProb: -4.083359264660818
Word: #convergences Frequency: 0.0 LogProb: -4.083359264660818
Word: #cows Frequency: 0.0 LogProb: -4.083359264660818
Word: #crowdsourcing Frequency: 0.0 LogProb: -4.083359264660818
Word: #csr Frequency: 0.0 LogProb: -4.083359264660818
Word: #csv Frequency: 1.0 LogProb: -3.782329268996837
Word: #csv_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #csvforum Frequency: 0.0 LogProb: -4.083359264660818
Word: #csvprize Frequency: 0.0 LogProb: -4.083359264660818
Word: #d_number_c Frequency: 0.0 LogProb: -4.083359264660818
Word: #dairy Frequency: 4.0 LogProb: -3.384389260324799
Word: #dancares Frequency: 1.0 LogProb: -3.782329268996837
Word: #dannon Frequency: 0.0 LogProb: -4.083359264660818
Word: #danone Frequency: 7.0 LogProb: -3.1802692776688746
Word: #danone_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #danoneceo Frequency: 0.0 LogProb: -4.083359264660818
Word: #danonecfo Frequency: 0.0 LogProb: -4.083359264660818
Word: #danoneecosysteme Frequency: 0.0 LogProb: -4.083359264660818
Word: #danoneh_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #danones Frequency: 0.0 LogProb: -4.083359264660818
Word: #danonesales Frequency: 1.0 LogProb: -3.782329268996837
Word: #danone‰ûªs Frequency: 0.0 LogProb: -4.083359264660818
Word: #danonino Frequency: 0.0 LogProb: -4.083359264660818
Word: #danoontje Frequency: 0.0 LogProb: -4.083359264660818
Word: #danoontjestart Frequency: 0.0 LogProb: -4.083359264660818
Word: #datawall Frequency: 2.0 LogProb: -3.6062380099411557
Word: #davidhughs Frequency: 0.0 LogProb: -4.083359264660818
Word: #davos Frequency: 4.0 LogProb: -3.384389260324799
Word: #debtceiling Frequency: 1.0 LogProb: -3.782329268996837
Word: #development Frequency: 1.0 LogProb: -3.782329268996837
Word: #diadelacomunidad Frequency: 0.0 LogProb: -4.083359264660818
Word: #diaglobaldelacomunidad Frequency: 1.0 LogProb: -3.782329268996837
Word: #didyouknow Frequency: 0.0 LogProb: -4.083359264660818
Word: #digital Frequency: 1.0 LogProb: -3.782329268996837
Word: #dino Frequency: 0.0 LogProb: -4.083359264660818
Word: #disease Frequency: 1.0 LogProb: -3.782329268996837
Word: #drinkh_number_o Frequency: 0.0 LogProb: -4.083359264660818
Word: #earthday Frequency: 0.0 LogProb: -4.083359264660818
Word: #earthhour Frequency: 1.0 LogProb: -3.782329268996837
Word: #ecosystem Frequency: 2.0 LogProb: -3.6062380099411557
Word: #ecuador Frequency: 0.0 LogProb: -4.083359264660818
Word: #edisonawards Frequency: 0.0 LogProb: -4.083359264660818
Word: #education Frequency: 1.0 LogProb: -3.782329268996837
Word: #efficiency Frequency: 1.0 LogProb: -3.782329268996837
Word: #eforeducation Frequency: 7.0 LogProb: -3.1802692776688746
Word: #elizacarthyband Frequency: 0.0 LogProb: -4.083359264660818
Word: #elsalvador Frequency: 0.0 LogProb: -4.083359264660818
Word: #emergencies Frequency: 0.0 LogProb: -4.083359264660818
Word: #emerging Frequency: 1.0 LogProb: -3.782329268996837
Word: #employment_number_youth Frequency: 0.0 LogProb: -4.083359264660818
Word: #endvaw Frequency: 0.0 LogProb: -4.083359264660818
